userName,score,at,content
PA'I GAMING,1,2025-03-03 17:10:57,"Aduhh iklannya ada dimana-mana ga di game ga di website di semua platform ada sebenernya ga masalah tapi ituloh iklannya suka maksa masuk ke aplikasi shopee padahal gue ga mau belanja sama sekali lol, mohon ya sebenarnya shopee udah di kenal banyak orang kenapa iklannya sangat merajalela dan memaksakan pengguna untuk masuk ke aplikasi shopee??? Lu pikir kita mau mau belanja setiao detik???"
Yulia Sapitri,1,2025-03-03 12:24:27,Kenapa ya setiap saya buka aplikasinya selalu nge bug dan kembali ke halaman. sedangkan saya ada spaylater takutnya saat nanti pembayaran saya sulit buka aplikasinya. Sebelumnya bagus bagus aja tapi setelah di update ke shopee bih ramadhan jadi nge bug
Aztie Audy,1,2025-03-03 08:50:18,"Aplikasi nya makin kesini malah makin sering eror, ngebug, lemot bangetttt diperbaiki versi terbaru bukannya makin bagus malah makin jelek. Bagus untuk pelayanannya tapi aplikasinya keseringan eror. Susah banget buat chat ke cs servis nya!"
Itaa Rositaa,1,2025-03-03 08:16:21,"Gajelas banget pesanan sering tiba tiba dibatalkan, keterangan karena aktifitas tidak wajar, gak wajarnya sebelah mana ya? Karena seminggu co nya bisa sampai 20x? Yaudah kan juga jdi sama sama untung, klo untuk voucher jdi gabisa dipake karena terlalu sering, terus gunanya apaan dipajang paling atas sama bisa diklik klo pas dipake malah dibatalkan sistem. Chat cs malah ilang fitur buat chat nya, pdahal udh bertahun tahun pake shopee loh ko sekarang malah jdi kaya gini. Kecewa berat!"
BangBeeYT,1,2025-03-03 04:04:33,"Sangat buruk, untuk pengiriman reguler biasanya sangat cepat seminggu dah sampai, tapi kok sekarang untuk regulernya selalu SPX untuk kurirnya, malah sangat lama sampainya, beda sama reguler seperti biasa JNT/sicepat seminggu dah smpai, miris untuk update sekarang selalu aja jasa kirim spx sangat lambat,."
Dhea Salsabila,1,2025-03-03 02:40:09,"Bertahun"" pakai shopee aman, nyaman, selalu jadii favorit belanja online.. Tapi akhir"" ini belanja apapun susah.. Beli ini itu untuk keperluan sehari"" Di batalkan semua.. katanya terditeksi aktivitas tidak wajar.. apanya yg gk wajar?? kecewa bgt.. jd makin ribett.. smoga kedepannya bisa diperbaiki dan seperti dulu lg"
Yayi Ruwandini,1,2025-03-03 01:03:30,Videonya gajelas. Buka aplikasi langsung masuk video. Udah back tetep suara ga ilang..bahkan kluar aplikasi recent app udah di hapus suara tetep ga ilang. Msih ngulang ngulang terus suara di videonya..sangat mengganggu !
Ririz Haloho,1,2025-03-02 23:51:46,"Shopee mulai ga jelas.. Kualitasnya sekarang sangat sangat teramat buruk sekali dan mengecewakan 👎👎👎👎..Niat kasih voucher ga sih? Tiap belanja dibatalkan.. Tutup aja mending aplikasinya, percuma ada aplikasinya tapi ga bisa dipake belanja.."
rizky 93,1,2025-03-02 16:50:35,"Shopee ko jadi parah gini sih..gak bisa cekout.. Setiap kali cekout pasti langsung di batalkan system. Percuma ngasih vocer juga kalau tidak bisa di pakai.. Padahal saya mau beli bukan mau ngerampok ,eh malah di persulit. Bener-bener shopee bikin kecewa ,parah banget"
Mama Elda,1,2025-03-02 16:24:24,"Makin kesini semakin ga jelas, voucher diadakan pas pembayaran selalu pembatalan otomatis. Tidak seperti aplikasi lain ga ada pembatasan atau pembatalan sistem karena penggunaaan voucher. Terima kasih🙏"
Yuli Supriyono,3,2025-03-02 07:15:57,Setiap mencari sesuatu produk yang di tampilkan pruduk sama tapi dengan ukuran yg berbeda ... Padahal di pencarian sudah di tulis produk beserta ukuran nya ... Tp yg di tampilkan berbeda ukuran .. mohon di perbaiki... Sehingga kita sebagai pengguna tidak susah untuk memilih produk ....
Kemal,1,2025-03-02 05:45:17,"Selalu telat kirim , ga kayak aplikasi sebelah konsisten pengiriman cepat gratis ongkir , ada voucher garansi tepat waktu tapi ga berguna , garansi itu yg serius cuma cuma tanpa minum pembelian, produk nya bebas, 10 rb bisa apa? Bikin komitmen yang jelas!!, vocer banyak banget syaratnya,pas chekout sama aja!!! masalah nya bukan garansi nya tapi ketepatan pengiriman yg penting, nungguin barangnya Ampe buluk , payah sopi"
Unun Afifah,2,2025-03-02 05:08:53,"Kecewa beraaat, aku user shopee dari sekitar 2018an. Baru kali ini kecewa berat. Cuma mau checkout terdeteksi transaksi tidak wajar. Dimananya yg tidak wajar?? Awalnya co dengan voucher besar ga bisa, makin kesini co harga 10 rebu beli sabun mandi juga ga bisa kalo pake voucher. Kalo tanpa voucher bisa co dengan mudah. Helloo shopee, itu voucher ga cuma cuma ya, saya beli shopee plus tapi terdeteksi transaksi tidak wajar. Shopee rekom buat beli shopeeplus giliran beli ga bisa pake. Merugikan"
Desi Tri Utami,2,2025-03-02 01:09:21,"Minusnya shopee : 1. Tiap masuk aplikasi, langsung masuk shopee video. 2. Aku saya sudah 2x kena MO4, padahal saya cuma punya 1 akun. Solusinya terpaksa langganan ShopeePlus..jadi sekarang pakai voucher gratis ongkir, harus beli dulu (alias tidak gratis secara cuma-cuma seperti dulu) 3. Chat prioritas platinum, tapi CS tidak ada yg tersedia (mungkin karena hari Minggu, jadi semua CS pada libur) Plusnya shopee : 1. Barang lebih lengkap dari platform sebelah 2. Banyak voucher diskon/cashback"
